Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,22683499.454199996,0,0,0,0,0,0,5670874.863549999,0,
1,702654.904424761,94514.58105916665,94514.58105916665,0.0,309835.79726602824,309835.79726602824,0.0,22373663.656933967,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,260498.6936758994,
2,702654.904424761,93223.5985705582,93223.5985705582,0.0,314102.56482803746,314102.56482803746,0.0,22059561.09210593,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,518021.60227839806,
3,702654.904424761,91914.8378837747,91914.8378837747,0.0,318428.8563696014,318428.8563696014,0.0,21741132.23573633,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,772526.9800261164,
4,702654.904424761,90588.05098223471,90588.05098223471,0.0,322815.5127222267,322815.5127222267,0.0,21418316.7230141,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,1023972.4883227492,
5,702654.904424761,89242.98634589209,89242.98634589209,0.0,327263.38673765515,327263.38673765515,0.0,21091053.336276446,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,1272315.1872402963,
6,702654.904424761,87879.38890115186,87879.38890115186,0.0,331773.3434616551,331773.3434616551,0.0,20759279.99281479,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,1517511.5268785835,
7,702654.904424761,86496.99997006163,86496.99997006163,0.0,336346.26031036186,336346.26031036186,0.0,20422933.73250443,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,1759517.3385992544,
8,702654.904424761,85095.55721876846,85095.55721876846,0.0,340983.0272491888,340983.0272491888,0.0,20081950.70525524,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,1998287.8261323913,
9,702654.904424761,83674.79460523017,83674.79460523017,0.0,345684.5469743551,345684.5469743551,0.0,19736266.158280887,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,2233777.5565539002,
10,702654.904424761,82234.44232617036,82234.44232617036,0.0,350451.73509707255,350451.73509707255,0.0,19385814.423183814,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,2465940.4511317518,
11,702654.904424761,80774.22676326589,80774.22676326589,0.0,355285.5203304194,355285.5203304194,0.0,19030528.902853396,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,2694729.7760391613,
12,702654.904424761,79293.87042855582,79293.87042855582,0.0,360186.8446789476,360186.8446789476,0.0,18670342.058174446,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,2920098.1329327524,
13,702654.904424761,77793.0919090602,77793.0919090602,0.0,365156.66363106534,365156.66363106534,0.0,18305185.39454338,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,3141997.4493937213,
14,702654.904424761,76271.60581059741,76271.60581059741,0.0,370195.9463542418,370195.9463542418,0.0,17934989.44818914,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,3360378.9692299766,
15,702654.904424761,74729.12270078808,74729.12270078808,0.0,375305.675893046,375305.675893046,0.0,17559683.772296093,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,3575193.242637237,
16,702654.904424761,73165.34905123372,73165.34905123372,0.0,380486.84937010775,380486.84937010775,0.0,17179196.922925986,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,3786390.11621699,
17,702654.904424761,71579.98717885828,71579.98717885828,0.0,385740.4781900103,385740.4781900103,0.0,16793456.444735974,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,3993918.7228492163,
18,702654.904424761,69972.73518639989,69972.73518639989,0.0,391067.58824615594,391067.58824615594,0.0,16402388.856489819,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,4197727.471417755,
19,702654.904424761,68343.28690204091,68343.28690204091,0.0,396469.22013068106,396469.22013068106,0.0,16005919.636359138,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,4397764.036386127,
20,702654.904424761,66691.33181816307,66691.33181816307,0.0,401946.4293474313,401946.4293474313,0.0,15603973.207011707,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,4593975.347221626,
21,702654.904424761,65016.555029215444,65016.555029215444,0.0,407500.28652805707,407500.28652805707,0.0,15196472.920483649,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,4786307.577665447,
22,702654.904424761,63318.63716868187,63318.63716868187,0.0,413131.87765127374,413131.87765127374,0.0,14783341.042832376,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,4974706.134846587,
23,702654.904424761,61597.2543451349,61597.2543451349,0.0,418842.30426533875,418842.30426533875,0.0,14364498.738567038,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,5159115.648237207,
24,702654.904424761,59852.078077362654,59852.078077362654,0.0,424632.68371378316,424632.68371378316,0.0,13939866.054853255,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,5339479.958447156,
25,702654.904424761,58082.77522855523,58082.77522855523,0.0,430504.14936444984,430504.14936444984,0.0,13509361.905488806,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,5515742.105855245,
26,702654.904424761,56289.00793953669,56289.00793953669,0.0,436457.8508418897,436457.8508418897,0.0,13072904.054646917,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,5687844.319074912,
27,702654.904424761,54470.43356102882,54470.43356102882,0.0,442494.95426316827,442494.95426316827,0.0,12630409.10038375,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,5855728.003251809,
28,702654.904424761,52626.70458493229,52626.70458493229,0.0,448616.64247711963,448616.64247711963,0.0,12181792.45790663,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,6019333.728190852,
29,702654.904424761,50757.46857461096,50757.46857461096,0.0,454824.1153071157,454824.1153071157,0.0,11726968.342599515,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,6178601.21631022,
30,702654.904424761,48862.368094164645,48862.368094164645,0.0,461118.58979739284,461118.58979739284,0.0,11265849.752802122,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,6333469.3304197565,
31,702654.904424761,46941.04063667551,46941.04063667551,0.0,467501.30046298646,467501.30046298646,0.0,10798348.452339135,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,6483876.061321189,
32,702654.904424761,44993.11855141306,44993.11855141306,0.0,473973.4995433403,473973.4995433403,0.0,10324374.952795794,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,6629758.515227531,
33,702654.904424761,43018.228969982476,43018.228969982476,0.0,480536.457259627,480536.457259627,0.0,9843838.495536167,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,6771052.900999016,
34,702654.904424761,41015.9937314007,41015.9937314007,0.0,487191.46207584895,487191.46207584895,0.0,9356647.033460319,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,6907694.517192861,
35,702654.904424761,38986.02930608466,38986.02930608466,0.0,493939.82096376823,493939.82096376823,0.0,8862707.21249655,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7039617.738924102,
36,702654.904424761,36927.94671873563,36927.94671873563,0.0,500782.8596717246,500782.8596717246,0.0,8361924.352824826,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7166756.004534736,
37,702654.904424761,34841.351470103444,34841.351470103444,0.0,507721.92299740075,507721.92299740075,0.0,7854202.429827426,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7289041.802068326,
38,702654.904424761,32725.84345761427,32725.84345761427,0.0,514758.37506458897,514758.37506458897,0.0,7339444.054762837,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7406406.6555472175,
39,702654.904424761,30581.01689484515,30581.01689484515,0.0,521893.5996040211,521893.5996040211,0.0,6817550.455158815,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7518781.111049446,
40,702654.904424761,28406.460229828393,28406.460229828393,0.0,529129.0002383261,529129.0002383261,0.0,6288421.454920489,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7626094.722582387,
41,702654.904424761,26201.756062168704,26201.756062168704,0.0,536466.0007711656,536466.0007711656,0.0,5751955.454149324,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7728276.037750146,
42,702654.904424761,23966.48105895552,23966.48105895552,0.0,543906.0454806241,543906.0454806241,0.0,5208049.408668701,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7825252.583211662,
43,702654.904424761,21700.20586945292,21700.20586945292,0.0,551450.5994169007,551450.5994169007,0.0,4656598.8092518,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7916950.849926403,
44,702654.904424761,19402.49503854917,19402.49503854917,0.0,559101.1487043812,559101.1487043812,0.0,4097497.6605474204,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8003296.278184567,
45,702654.904424761,17072.906918947585,17072.906918947585,0.0,566859.2008481447,566859.2008481447,0.0,3530638.459699277,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8084213.2424185695,
46,702654.904424761,14710.99358208032,14710.99358208032,0.0,574726.2850449767,574726.2850449767,0.0,2955912.1746543013,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8159625.035792607,
47,702654.904424761,12316.300727726255,12316.300727726255,0.0,582703.9524989518,582703.9524989518,0.0,2373208.222155351,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8229453.854567023,
48,702654.904424761,9888.367592313964,9888.367592313964,0.0,590793.7767416573,590793.7767416573,0.0,1782414.4454136938,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8293620.782234145,
49,702654.904424761,7426.726855890391,7426.726855890391,0.0,598997.3539571216,598997.3539571216,0.0,1183417.0914565735,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8352045.773422227,
50,702654.904424761,4930.904547735723,4930.904547735723,0.0,607316.3033115268,607316.3033115268,0.0,576100.7881450467,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8404647.63756406,
51,653063.1041888447,2400.419950604361,2400.419950604361,0.0,566160.4670518435,566160.4670518435,0.0,9940.321093201637,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8451344.02232679,
52,636461.7459532205,41.418004555006824,41.418004555006824,0.0,9940.321093201637,9940.321093201637,0.0,0.0,37805.83242366666,37805.83242366666,0.0,557427.7223764393,557427.7223764393,0.0,5113447.14117356,8482590.474382147,
53,613029.6649370457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34089.64760782374,34089.64760782374,0.0,541744.7622416595,541744.7622416595,0.0,4571702.3789319005,8519785.72946971,
54,586744.43327476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30478.015859546005,30478.015859546005,0.0,522994.8125525445,522994.8125525445,0.0,4048707.5663793557,8553057.334332379,
55,552626.12751038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26991.383775862374,26991.383775862374,0.0,496159.4342137531,496159.4342137531,0.0,3552548.1321656024,8582532.643853143,
56,520971.139044181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23683.654214437352,23683.654214437352,0.0,471408.7100378562,471408.7100378562,0.0,3081139.422127746,8608411.41864503,
57,487632.6862534412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20540.929480851642,20540.929480851642,0.0,444633.87105955725,444633.87105955725,0.0,2636505.5510681886,8630869.304358061,
58,442193.3264309787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17576.703673787924,17576.703673787924,0.0,405383.4175017197,405383.4175017197,0.0,2231122.133566469,8650102.509613533,
59,399021.91701948084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14874.147557109794,14874.147557109794,0.0,367848.9357664025,367848.9357664025,0.0,1863273.1978000663,8666401.343309501,
60,360982.7094314257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12421.82131866711,12421.82131866711,0.0,334917.12986203935,334917.12986203935,0.0,1528356.067938027,8680045.10156022,
61,311195.36457953695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10189.04045292018,10189.04045292018,0.0,289788.16766075674,289788.16766075674,0.0,1238567.90027727,8691263.25802608,
62,262850.22784087947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8257.1193351818,8257.1193351818,0.0,245471.6984410487,245471.6984410487,0.0,993096.2018362209,8700384.668090729,
63,221331.60735219248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6620.641345574806,6620.641345574806,0.0,207367.5428842273,207367.5428842273,0.0,785728.658951994,8707728.091213118,
64,193278.91290049636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5238.191059679961,5238.191059679961,0.0,182193.23149045635,182193.23149045635,0.0,603535.4274615375,8713575.581563478,
65,155974.45368882865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4023.5695164102503,4023.5695164102503,0.0,147422.9735249027,147422.9735249027,0.0,456112.4539366346,8718103.492210994,
66,132679.53198207918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3040.7496929108975,3040.7496929108975,0.0,126179.28360110814,126179.28360110814,0.0,329933.1703355266,8721562.990899052,
67,109343.28026889764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199.5544689035105,2199.5544689035105,0.0,104595.47202394111,104595.47202394111,0.0,225337.698311585,8724111.244675105,
68,88311.52070690638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1502.2513220772335,1502.2513220772335,0.0,85019.4159919891,85019.4159919891,0.0,140318.28231959604,8725901.098067945,
69,64466.8183822203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.4552154639737,935.4552154639737,0.0,62367.671996958714,62367.671996958714,0.0,77950.61032263748,8727064.789237743,
70,53783.92220059696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.6707354842499,519.6707354842499,0.0,52555.8808466229,52555.8808466229,0.0,25394.729476014152,8727773.159856234,
71,35826.772535365504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.29819650676103,169.29819650676103,0.0,25394.729476014152,25394.729476014152,0.0,0.0,8738035.904719077,
72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8738035.904719077,
