Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,22683499.454199996,0,0,0,0,0,0,5670874.863549999,0,
1,644819.1769423072,94514.58105916665,94514.58105916665,0.0,228088.3553041186,228088.3553041186,0.0,22455411.098895878,37805.83242366666,37805.83242366666,0.0,57022.08882602965,57022.08882602965,0.0,5613852.774723969,227388.31932932555,
2,644819.1769423072,93564.21291206616,93564.21291206616,0.0,231225.57935713438,231225.57935713438,0.0,22224185.51953874,37425.685164826464,37425.685164826464,0.0,57806.394839283596,57806.394839283596,0.0,5556046.379884685,452185.6239983221,
3,644819.1769423072,92600.77299807809,92600.77299807809,0.0,234406.5214701452,234406.5214701452,0.0,21989778.998068597,37040.30919923124,37040.30919923124,0.0,58601.6303675363,58601.6303675363,0.0,5497444.749517149,674355.5669056386,
4,654163.673976088,91624.07915861915,91624.07915861915,0.0,237410.90964324793,237410.90964324793,0.0,21752368.08842535,36649.63166344766,36649.63166344766,0.0,59352.72741081198,59352.72741081198,0.0,5438092.022106337,903481.8930056,
5,652921.1517248836,90634.86703510562,90634.86703510562,0.0,240491.27658547915,240491.27658547915,0.0,21511876.81183987,36253.946814042254,36253.946814042254,0.0,60122.81914636979,60122.81914636979,0.0,5377969.202959968,1128900.1351494866,
6,655448.8772912284,89632.82004933279,89632.82004933279,0.0,243621.4453331093,243621.4453331093,0.0,21268255.366506763,35853.12801973312,35853.12801973312,0.0,60905.361333277324,60905.361333277324,0.0,5317063.841626691,1354336.2577052626,
7,655259.5122200304,88617.73069377818,88617.73069377818,0.0,246799.77806687637,246799.77806687637,0.0,21021455.588439886,35447.09227751127,35447.09227751127,0.0,61699.94451671909,61699.94451671909,0.0,5255363.897109971,1577031.224370408,
8,642676.4542415029,87589.39828516619,87589.39828516619,0.0,250197.60643976665,250197.60643976665,0.0,20771257.98200012,35035.759314066476,35035.759314066476,0.0,62549.40160994166,62549.40160994166,0.0,5192814.49550003,1784335.5129629697,
9,642676.4542415029,86546.90825833383,86546.90825833383,0.0,253642.8301380854,253642.8301380854,0.0,20517615.151862033,34618.76330333354,34618.76330333354,0.0,63410.70753452135,63410.70753452135,0.0,5129403.787965508,1988792.7579701985,
10,642676.4542415029,85490.06313275847,85490.06313275847,0.0,257136.11864515,257136.11864515,0.0,20260479.033216882,34196.02525310339,34196.02525310339,0.0,64284.0296612875,64284.0296612875,0.0,5065119.758304221,2190362.975519402,
11,646139.8148836496,84418.66263840368,84418.66263840368,0.0,260678.15101557845,260678.15101557845,0.0,19999800.882201303,33767.46505536147,33767.46505536147,0.0,65169.53775389461,65169.53775389461,0.0,4999950.220550326,2392468.9739398137,
12,650518.5031345803,83332.50367583876,83332.50367583876,0.0,264127.4705216266,264127.4705216266,0.0,19735673.411679678,33333.001470335505,33333.001470335505,0.0,66031.86763040665,66031.86763040665,0.0,4933918.352919919,2596162.6337761865,
13,660195.9557110929,82231.97254866532,82231.97254866532,0.0,267383.1624876744,267383.1624876744,0.0,19468290.249192003,32892.78901946613,32892.78901946613,0.0,66845.7906219186,66845.7906219186,0.0,4867072.562298001,2807004.874809555,
14,664070.9370412811,81117.87603830002,81117.87603830002,0.0,270602.27938103053,270602.27938103053,0.0,19197687.969810974,32447.150415320008,32447.150415320008,0.0,67650.56984525763,67650.56984525763,0.0,4799421.992452743,3019257.9361709277,
15,659748.0859436976,79990.36654087905,79990.36654087905,0.0,273821.90403970407,273821.90403970407,0.0,18923866.065771267,31996.146616351623,31996.146616351623,0.0,68455.47600992602,68455.47600992602,0.0,4730966.516442817,3224742.1289077643,
16,639113.4846546409,78849.44194071362,78849.44194071362,0.0,277598.0023254084,277598.0023254084,0.0,18646268.06344586,31539.776776285446,31539.776776285446,0.0,69399.5005813521,69399.5005813521,0.0,4661567.015861465,3406468.8919386454,
17,639113.4846546409,77692.78359769107,77692.78359769107,0.0,281426.85675048863,281426.85675048863,0.0,18364841.20669537,31077.113439076435,31077.113439076435,0.0,70356.71418762216,70356.71418762216,0.0,4591210.301673843,3585028.908618408,
18,655906.8847074024,76520.17169456404,76520.17169456404,0.0,284935.9598309434,284935.9598309434,0.0,18079905.246864427,30608.06867782562,30608.06867782562,0.0,71233.98995773584,71233.98995773584,0.0,4519976.311716107,3777637.603164741,
19,643708.4131466964,75332.93852860178,75332.93852860178,0.0,288733.8665143332,288733.8665143332,0.0,17791171.380350094,30133.175411440712,30133.175411440712,0.0,72183.4666285833,72183.4666285833,0.0,4447792.845087524,3954962.5692284782,
20,681104.9596649964,74129.88075145872,74129.88075145872,0.0,291781.23199315846,291781.23199315846,0.0,17499390.148356937,29651.952300583493,29651.952300583493,0.0,72945.30799828962,72945.30799828962,0.0,4374847.537089234,4167559.1558499835,
21,636050.4163175247,72914.1256181539,72914.1256181539,0.0,295809.0717275104,295809.0717275104,0.0,17203581.076629426,29165.650247261565,29165.650247261565,0.0,73952.2679318776,73952.2679318776,0.0,4300895.269157357,4331768.456642704,
22,647530.904192744,71681.58781928927,71681.58781928927,0.0,299618.17227147176,299618.17227147176,0.0,16903962.904357955,28672.635127715712,28672.635127715712,0.0,74904.54306786794,74904.54306786794,0.0,4225990.726089489,4504422.422549103,
23,663406.206802572,70433.17876815815,70433.17876815815,0.0,303073.38126493985,303073.38126493985,0.0,16600889.523093015,28173.27150726326,28173.27150726326,0.0,75768.34531623496,75768.34531623496,0.0,4150222.3807732537,4690380.4524950795,
24,641464.1045050792,69170.37301288756,69170.37301288756,0.0,307030.27757030854,307030.27757030854,0.0,16293859.245522706,27668.149205155027,27668.149205155027,0.0,76757.56939257713,76757.56939257713,0.0,4073464.8113806765,4851218.187819231,
25,654862.3617801778,67891.08018967794,67891.08018967794,0.0,310654.5133317519,310654.5133317519,0.0,15983204.732190954,27156.432075871176,27156.432075871176,0.0,77663.62833293798,77663.62833293798,0.0,3995801.1830477384,5022714.89566917,
