Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,22683499.454199996,0,0,0,0,0,0,5670874.863549999,0,
1,680660.386652671,9451.458105916665,9451.458105916665,0.0,228448.4652333435,228448.4652333435,0.0,22455050.98896665,3780.5832423666657,3780.5832423666657,0.0,57112.11630833588,57112.11630833588,0.0,5613762.747241663,381867.76376270835,
2,662564.5918982103,9356.271245402771,9356.271245402771,0.0,231277.00037997725,231277.00037997725,0.0,22223773.988586675,3742.5084981611085,3742.5084981611085,0.0,57819.25009499431,57819.25009499431,0.0,5555943.497146669,742237.3254423832,
3,647185.4252545697,9259.905828577783,9259.905828577783,0.0,234463.3533453237,234463.3533453237,0.0,21989310.635241352,3703.9623314311125,3703.9623314311125,0.0,58615.838336330926,58615.838336330926,0.0,5497327.658810338,1083379.6908552893,
4,658433.666990274,9162.212764683898,9162.212764683898,0.0,237453.6425596439,237453.6425596439,0.0,21751856.99268171,3664.8851058735586,3664.8851058735586,0.0,59363.41063991097,59363.41063991097,0.0,5437964.248170427,1432169.2067754513,
5,646537.7807545082,9063.273746950712,9063.273746950712,0.0,240726.00716346633,240726.00716346633,0.0,21511130.98551824,3625.3094987802847,3625.3094987802847,0.0,60181.50179086658,60181.50179086658,0.0,5377782.74637956,1765110.8953298957,
6,646537.7807545082,8962.971243965934,8962.971243965934,0.0,244044.06448232796,244044.06448232796,0.0,21267086.921035912,3585.188497586373,3585.188497586373,0.0,61011.01612058199,61011.01612058199,0.0,5316771.730258978,2094045.435739942,
7,646537.7807545082,8861.286217098297,8861.286217098297,0.0,247408.46064839914,247408.46064839914,0.0,21019678.460387513,3544.5144868393186,3544.5144868393186,0.0,61852.115162099784,61852.115162099784,0.0,5254919.615096878,2418916.8399800137,
8,654654.1710395286,8758.199358494798,8758.199358494798,0.0,250628.30332629257,250628.30332629257,0.0,20769050.157061223,3503.2797433979185,3503.2797433979185,0.0,62657.075831573144,62657.075831573144,0.0,5192262.539265306,2748024.152759784,
9,666077.4714199749,8653.77089877551,8653.77089877551,0.0,253683.78732233922,253683.78732233922,0.0,20515366.36973888,3461.5083595102037,3461.5083595102037,0.0,63420.946830584806,63420.946830584806,0.0,5128841.59243472,3084881.6107685496,
10,658498.2314135138,8548.069320724535,8548.069320724535,0.0,256924.25673771673,256924.25673771673,0.0,20258442.113001164,3419.2277282898135,3419.2277282898135,0.0,64231.06418442918,64231.06418442918,0.0,5064610.528250291,3410257.224210903,
11,649244.6952259074,8441.017547083818,8441.017547083818,0.0,260356.73749489617,260356.73749489617,0.0,19998085.375506267,3376.407018833527,3376.407018833527,0.0,65089.18437372404,65089.18437372404,0.0,4999521.343876567,3722238.573002273,
12,674477.6601835607,8332.535573127612,8332.535573127612,0.0,263143.4729951926,263143.4729951926,0.0,19734941.902511075,3333.0142292510445,3333.0142292510445,0.0,65785.86824879816,65785.86824879816,0.0,4933735.475627769,4056121.342139465,
13,665459.4722240691,8222.892459379615,8222.892459379615,0.0,266216.2440195898,266216.2440195898,0.0,19468725.658491485,3289.156983751846,3289.156983751846,0.0,66554.06100489745,66554.06100489745,0.0,4867181.414622871,4377298.459895915,
14,640939.6445188143,8111.969024371452,8111.969024371452,0.0,269890.0074338554,269890.0074338554,0.0,19198835.65105763,3244.7876097485805,3244.7876097485805,0.0,67472.50185846385,67472.50185846385,0.0,4799708.912764408,4669518.838488291,
15,649107.7670835785,7999.514854607347,7999.514854607347,0.0,273439.22161096,273439.22161096,0.0,18925396.42944667,3199.8059418429384,3199.8059418429384,0.0,68359.80540274,68359.80540274,0.0,4731349.107361668,4965628.257761721,
16,657782.6168572769,7885.58184560278,7885.58184560278,0.0,276858.15953385446,276858.15953385446,0.0,18648538.269912817,3154.2327382411117,3154.2327382411117,0.0,69214.53988346361,69214.53988346361,0.0,4662134.567478204,5266298.360617835,
17,647749.7585465846,7770.224279130341,7770.224279130341,0.0,280439.2990508542,280439.2990508542,0.0,18368098.970861964,3108.089711652136,3108.089711652136,0.0,70109.82476271356,70109.82476271356,0.0,4592024.742715491,5552620.68136007,
18,661565.027660336,7653.374571192486,7653.374571192486,0.0,283781.35222347756,283781.35222347756,0.0,18084317.618638486,3061.349828476994,3061.349828476994,0.0,70945.33805586939,70945.33805586939,0.0,4521079.404659621,5848744.29434139,
19,637961.4175359157,7535.132341099369,7535.132341099369,0.0,287701.02855330764,287701.02855330764,0.0,17796616.59008518,3014.0529364397476,3014.0529364397476,0.0,71925.25713832691,71925.25713832691,0.0,4449154.147521295,6116530.240908133,
20,637961.4175359157,7415.256912535491,7415.256912535491,0.0,291675.5587387381,291675.5587387381,0.0,17504941.03134644,2966.1027650141964,2966.1027650141964,0.0,72918.88968468453,72918.88968468453,0.0,4376235.25783661,6379515.8503430765,
21,651116.0336576874,7293.725429727684,7293.725429727684,0.0,295437.61739747284,295437.61739747284,0.0,17209503.413948964,2917.4901718910733,2917.4901718910733,0.0,73859.40434936821,73859.40434936821,0.0,4302375.853487241,6651123.646652305,
22,645147.5858295797,7170.626422478736,7170.626422478736,0.0,299300.0989111011,299300.0989111011,0.0,16910203.315037865,2868.2505689914938,2868.2505689914938,0.0,74825.02472777528,74825.02472777528,0.0,4227550.828759466,6912107.231851537,
23,644468.5406382444,7045.918047932444,7045.918047932444,0.0,303225.14463920944,303225.14463920944,0.0,16606978.170398654,2818.3672191729775,2818.3672191729775,0.0,75806.28615980236,75806.28615980236,0.0,4151744.5425996636,7167680.056423663,
24,670552.3156727478,6919.5742376661065,6919.5742376661065,0.0,306445.526080055,306445.526080055,0.0,16300532.6443186,2767.829695066442,2767.829695066442,0.0,76611.38152001375,76611.38152001375,0.0,4075133.16107965,7445488.06056361,
25,634525.0355781931,6791.888601799416,6791.888601799416,0.0,310683.4332615523,310683.4332615523,0.0,15989849.211057048,2716.7554407197663,2716.7554407197663,0.0,77670.85831538808,77670.85831538808,0.0,3997462.302764262,7682150.1605223445,
26,658742.4132930043,6662.43717127377,6662.43717127377,0.0,314385.9447198487,314385.9447198487,0.0,15675463.2663372,2664.974868509508,2664.974868509508,0.0,78596.48617996217,78596.48617996217,0.0,3918865.8165843,7938582.730875754,
27,649908.2828515501,6531.4430276405,6531.4430276405,0.0,318361.5663899002,318361.5663899002,0.0,15357101.699947298,2612.5772110561998,2612.5772110561998,0.0,79590.39159747506,79590.39159747506,0.0,3839275.4249868244,8181395.035501232,
28,632605.9303012183,6398.792374978041,6398.792374978041,0.0,322766.1275732342,322766.1275732342,0.0,15034335.572374064,2559.5169499912163,2559.5169499912163,0.0,80691.53189330855,80691.53189330855,0.0,3758583.893093516,8401584.997010937,
