Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,22683499.454199996,0,0,0,0,0,0,5670874.863549999,0,
1,702654.904424761,125631.68480264815,125631.68480264815,0.0,247868.63781282262,247868.63781282262,0.0,22435630.816387173,31975.980984640522,31975.980984640522,0.0,61967.159453205655,61967.159453205655,0.0,5608907.704096793,235211.44137144403,
2,721203.8965953838,124258.87393450864,124258.87393450864,0.0,250516.83402076474,250516.83402076474,0.0,22185113.98236641,31626.570927105327,31626.570927105327,0.0,62629.208505191185,62629.208505191185,0.0,5546278.495591602,487383.85057925776,
3,718528.0139869752,122871.39613404842,122871.39613404842,0.0,253292.52805604384,253292.52805604384,0.0,21931821.454310365,31273.427818073396,31273.427818073396,0.0,63323.13201401096,63323.13201401096,0.0,5482955.363577591,735151.3805440563,
4,709160.7567770609,121468.54525947974,121468.54525947974,0.0,256425.39130059697,256425.39130059697,0.0,21675396.06300977,30916.371929187084,30916.371929187084,0.0,64106.34782514924,64106.34782514924,0.0,5418849.015752442,971395.4810067044,
5,708683.4852402423,120048.34314294487,120048.34314294487,0.0,259654.6391709231,259654.6391709231,0.0,21415741.423838846,30554.899773942154,30554.899773942154,0.0,64913.659792730774,64913.659792730774,0.0,5353935.355959712,1204907.424366406,
6,708885.9769645795,118610.25596192013,118610.25596192013,0.0,262826.4456805641,262826.4456805641,0.0,21152914.97815828,30188.87548296064,30188.87548296064,0.0,65706.61142014102,65706.61142014102,0.0,5288228.74453957,1436461.2127853998,
7,706167.135525792,117154.60185316102,117154.60185316102,0.0,266206.4038509945,266206.4038509945,0.0,20886708.574307285,29818.380028927582,29818.380028927582,0.0,66551.60096274862,66551.60096274862,0.0,5221677.143576821,1662897.36161536,
8,699066.6489281422,115680.22797674125,115680.22797674125,0.0,269915.817402056,269915.817402056,0.0,20616792.75690523,29443.119989147748,29443.119989147748,0.0,67478.954350514,67478.954350514,0.0,5154198.189226308,1879445.8908250427,
9,699066.6489281422,114185.30965677166,114185.30965677166,0.0,273677.0331821891,273677.0331821891,0.0,20343115.72372304,29062.630944142667,29062.630944142667,0.0,68419.25829554728,68419.25829554728,0.0,5085778.93093076,2093168.3076745337,
10,699066.6489281422,112669.5599886091,112669.5599886091,0.0,277490.78368036303,277490.78368036303,0.0,20065624.94004268,28676.839870475404,28676.839870475404,0.0,69372.69592009076,69372.69592009076,0.0,5016406.23501067,2304025.077143138,
11,733017.0425548553,111132.68801074874,111132.68801074874,0.0,280003.9942233202,280003.9942233202,0.0,19785620.945819356,28285.672712149957,28285.672712149957,0.0,70000.99855583005,70000.99855583005,0.0,4946405.236454839,2547618.7661959436,
12,740113.3454903968,109581.89671345471,109581.89671345471,0.0,282122.1961751218,282122.1961751218,0.0,19503498.749644235,27890.962785977143,27890.962785977143,0.0,70530.54904378045,70530.54904378045,0.0,4875874.687411059,2797606.5069680065,
