Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,22683499.454199996,0,0,0,0,0,0,5670874.863549999,0,
1,702654.904424761,125613.33309173591,125613.33309173591,0.0,247868.63781282262,247868.63781282262,0.0,22435630.816387173,31972.55732772992,31972.55732772992,0.0,61967.159453205655,61967.159453205655,0.0,5608907.704096793,235233.21673926688,
2,702654.904424761,124240.72275762752,124240.72275762752,0.0,251282.05186243,251282.05186243,0.0,22184348.764524743,31623.184681405302,31623.184681405302,0.0,62820.5129656075,62820.5129656075,0.0,5546087.191131186,467921.64889695746,
3,709047.0163023118,122849.21012333132,122849.21012333132,0.0,254489.6470020019,254489.6470020019,0.0,21929859.117522743,31269.00080317158,31269.00080317158,0.0,63622.411750500476,63622.411750500476,0.0,5482464.779380686,704738.3955202642,
4,706597.8426358051,121439.93494240937,121439.93494240937,0.0,257818.58686570963,257818.58686570963,0.0,21672040.53065703,30910.29579627818,30910.29579627818,0.0,64454.64671642741,64454.64671642741,0.0,5418010.132664258,936712.7738352447,
5,702112.6252846713,120012.22524997006,120012.22524997006,0.0,261376.88607805243,261376.88607805243,0.0,21410663.64457898,30546.89862445459,30546.89862445459,0.0,65344.22151951311,65344.22151951311,0.0,5352665.911144745,1161545.1676479257,
6,711062.6437586386,118564.81093368721,118564.81093368721,0.0,264681.16877792595,264681.16877792595,0.0,21145982.475801054,30178.486004032093,30178.486004032093,0.0,66170.29219448149,66170.29219448149,0.0,5286495.618950264,1393013.0534964376,
7,710419.180756883,117099.09864868723,117099.09864868723,0.0,268014.80425180553,268014.80425180553,0.0,20877967.67154925,29805.415973131025,29805.415973131025,0.0,67003.70106295138,67003.70106295138,0.0,5219491.917887312,1621509.2143167455,
8,701327.149429156,115614.92584951338,115614.92584951338,0.0,271724.21780286706,271724.21780286706,0.0,20606243.453746382,29427.647158803105,29427.647158803105,0.0,67931.05445071677,67931.05445071677,0.0,5151560.863436596,1838138.5184840017,
9,715377.636132527,114110.21160782952,114110.21160782952,0.0,274867.62801399105,274867.62801399105,0.0,20331375.82573239,29044.649899117667,29044.649899117667,0.0,68716.90700349776,68716.90700349776,0.0,5082843.956433098,2066776.7580920924,
10,716021.311336037,112588.09025333702,112588.09025333702,0.0,278030.6297365515,278030.6297365515,0.0,20053345.195995837,28657.22197989565,28657.22197989565,0.0,69507.65743413787,69507.65743413787,0.0,5013336.298998959,2294014.470024207,
11,699741.4564983777,111048.45329505736,111048.45329505736,0.0,281897.657923229,281897.657923229,0.0,19771447.53807261,28265.335786759304,28265.335786759304,0.0,70474.41448080725,70474.41448080725,0.0,4942861.884518152,2502070.065036732,
12,727223.6022869826,109487.40207921709,109487.40207921709,0.0,284757.88097497285,284757.88097497285,0.0,19486689.657097638,27867.998989291114,27867.998989291114,0.0,71189.47024374321,71189.47024374321,0.0,4871672.414274409,2735990.9150364897,
13,705151.2677581642,107910.51194259478,107910.51194259478,0.0,288422.6186015026,288422.6186015026,0.0,19198267.038496133,27466.630686645494,27466.630686645494,0.0,72105.65465037565,72105.65465037565,0.0,4799566.759624033,2945236.7669135355,
14,698026.5140455739,106313.32776319898,106313.32776319898,0.0,292454.0447800438,292454.0447800438,0.0,18905812.99371609,27060.096909682645,27060.096909682645,0.0,73113.51119501096,73113.51119501096,0.0,4726453.248429023,3144322.300311173,
15,707921.0774846848,104693.81894732361,104693.81894732361,0.0,296109.05632883107,296109.05632883107,0.0,18609703.937387258,26647.880808223705,26647.880808223705,0.0,74027.26408220777,74027.26408220777,0.0,4652425.984346814,3350765.357629271,
16,707550.5921447115,103054.06994831162,103054.06994831162,0.0,299841.9692451072,299841.9692451072,0.0,18309861.96814215,26230.512941424797,26230.512941424797,0.0,74960.4923112768,74960.4923112768,0.0,4577465.492035538,3554228.905327862,
17,725403.1360448258,101393.64937547564,101393.64937547564,0.0,302787.1706713813,302787.1706713813,0.0,18007074.79747077,25807.88350674233,25807.88350674233,0.0,75696.79266784532,75696.79266784532,0.0,4501768.699367693,3773946.545151243,
18,705574.4249456767,99716.91930116578,99716.91930116578,0.0,306583.9613326627,306583.9613326627,0.0,17700490.836138107,25381.102789245964,25381.102789245964,0.0,76645.99033316567,76645.99033316567,0.0,4425122.709034527,3971192.99634068,
19,713131.1463277293,98019.16392028987,98019.16392028987,0.0,310106.78933036915,310106.78933036915,0.0,17390384.04680774,24948.97046772023,24948.97046772023,0.0,77526.69733259229,77526.69733259229,0.0,4347596.011701935,4173722.521617438,
