Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,22683499.454199996,0,0,0,0,0,0,5670874.863549999,0,
1,702654.904424761,94514.58105916665,94514.58105916665,0.0,309835.79726602824,309835.79726602824,0.0,22373663.656933967,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,260498.6936758994,
2,702654.904424761,93223.5985705582,93223.5985705582,0.0,314102.56482803746,314102.56482803746,0.0,22059561.09210593,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,518021.60227839806,
3,709581.9330392265,91914.8378837747,91914.8378837747,0.0,318272.4271417897,318272.4271417897,0.0,21741288.66496414,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,779610.4378683934,
4,709946.7176098938,90588.70277068391,90588.70277068391,0.0,322389.7318719328,322389.7318719328,0.0,21418898.933092207,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,1038772.8884120036,
5,701873.5652074411,89245.41222121753,89245.41222121753,0.0,326832.8220731454,326832.8220731454,0.0,21092066.111019064,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,1286762.386901415,
6,713018.5722628232,87883.60879591276,87883.60879591276,0.0,331046.5785385154,331046.5785385154,0.0,20761019.532480545,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,1543044.9394061433,
7,701259.1140011754,86504.24805200227,86504.24805200227,0.0,335610.3091125598,335610.3091125598,0.0,20425409.22336799,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,1784383.6638190902,
8,708424.5481016644,85105.87176403329,85105.87176403329,0.0,340049.6552765002,340049.6552765002,0.0,20085359.568091486,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,2029846.8524565548,
9,700840.8443500003,83688.99820038119,83688.99820038119,0.0,344738.9460967899,344738.9460967899,0.0,19740620.621994697,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,2264453.9200857175,
10,708954.0712063586,82252.5859249779,82252.5859249779,0.0,349222.76689886284,349222.76689886284,0.0,19391397.855095834,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,2504126.806044569,
11,700370.2670530664,80797.49106289931,80797.49106289931,0.0,354040.32194227586,354040.32194227586,0.0,19037357.533153556,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,2731853.4276687936,
12,708488.3266801739,79322.32305480649,79322.32305480649,0.0,358729.8917557856,358729.8917557856,0.0,18678627.641397774,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,2964483.7071147086,
13,708146.8155392339,77827.61517249072,77827.61517249072,0.0,363448.48671710707,363448.48671710707,0.0,18315179.154680666,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,3193548.588340678,
14,699525.1281780339,76313.2464778361,76313.2464778361,0.0,368464.69703761744,368464.69703761744,0.0,17946714.457643047,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,3410489.9405795913,
15,720635.3046160252,74777.97690684603,74777.97690684603,0.0,372951.25197875645,372951.25197875645,0.0,17573763.205664292,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,3645590.183886348,
16,705885.7860507409,73224.01335693455,73224.01335693455,0.0,377888.5080352587,377888.5080352587,0.0,17195874.697629035,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,3862557.6161212292,
17,715851.4441837347,71649.47790678764,71649.47790678764,0.0,382626.9443508191,382626.9443508191,0.0,16813247.753278214,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,4086326.8056236906,
18,707304.6477628775,70055.19897199256,70055.19897199256,0.0,387911.5512940853,387911.5512940853,0.0,16425336.201984128,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,4297858.870696824,
19,697026.1351580663,68438.90084160054,68438.90084160054,0.0,393270.08969582885,393270.08969582885,0.0,16032066.1122883,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,4495370.182893795,
20,697026.1351580663,66800.27546786792,66800.27546786792,0.0,398703.6067273946,398703.6067273946,0.0,15633362.505560905,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,4689086.603432933,
21,705730.3406915874,65139.010439837104,65139.010439837104,0.0,403863.014986916,403863.014986916,0.0,15229499.49057399,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,4888009.0862741005,
22,704387.7597068206,63456.24787739162,63456.24787739162,0.0,409125.7811290619,409125.7811290619,0.0,14820373.709444927,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,5082008.9845508,
23,707837.9632958119,61751.5571226872,61751.5571226872,0.0,414358.5649538046,414358.5649538046,0.0,14406015.144491121,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,5275930.993346454,
24,709344.0643686937,60025.06310204634,60025.06310204634,0.0,419582.2219927734,419582.2219927734,0.0,13986432.92249835,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,5467861.940196662,
25,700932.6858245125,58276.80384374312,58276.80384374312,0.0,425157.18026254635,425157.18026254635,0.0,13561275.742235802,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,5647554.809491219,
26,703778.503836864,56505.315592649175,56505.315592649175,0.0,430582.07795602153,430582.07795602153,0.0,13130693.664279781,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,5826440.087355745,
27,711675.8648765833,54711.22360116575,54711.22360116575,0.0,435815.1977597418,435815.1977597418,0.0,12694878.46652004,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,6009783.698447754,
28,703499.1448452153,52895.3269438335,52895.3269438335,0.0,441332.7881290265,441332.7881290265,0.0,12253545.678391013,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,6181248.895796443,
29,691804.7216840958,51056.44032662922,51056.44032662922,0.0,447442.86378251243,447442.86378251243,0.0,11806102.814608501,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,6336748.480947731,
30,721220.0700763353,49192.095060868756,49192.095060868756,0.0,452640.13405433483,452640.13405433483,0.0,11353462.680554166,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,6518330.489485196,
31,690179.2211393528,47306.094502309024,47306.094502309024,0.0,458908.1736721118,458908.1736721118,0.0,10894554.506882055,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,6664489.610026461,
32,697809.3012033319,45393.977112008564,45393.977112008564,0.0,464940.29733674723,464940.29733674723,0.0,10429614.209545307,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,6814158.804357371,
33,708180.7010368,43456.725873105446,43456.725873105446,0.0,470663.63869261916,470663.63869261916,0.0,9958950.570852688,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,6970413.30840478,
34,698487.1573195884,41495.62737855286,41495.62737855286,0.0,476796.0826228863,476796.0826228863,0.0,9482154.488229802,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7112802.923299262,
35,696211.5191020028,39508.97703429084,39508.97703429084,0.0,483110.9940840773,483110.9940840773,0.0,8999043.494145725,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7248588.63885923,
36,702074.9461354732,37496.01455894052,37496.01455894052,0.0,489281.7168182551,489281.7168182551,0.0,8509761.77732747,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7386080.0211938415,
37,712317.9029285292,35457.34073886446,35457.34073886446,0.0,494961.0303720584,494961.0303720584,0.0,8014800.7469554115,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7530173.720587782,
38,711032.6452797656,33395.00311231421,33395.00311231421,0.0,500648.17829599755,500648.17829599755,0.0,7514152.568659414,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7669357.352035569,
39,683923.9466709027,31308.96903608089,31308.96903608089,0.0,507593.8055134872,507593.8055134872,0.0,7006558.763145927,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7776572.691733237,
40,690681.9647119602,29193.994846441365,29193.994846441365,0.0,514336.25026285404,514336.25026285404,0.0,6492222.512883073,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7885918.578912237,
41,697798.8184914585,27050.9271370128,27050.9271370128,0.0,520820.9242552057,520820.9242552057,0.0,5971401.588627867,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,7998039.713587809,
42,682710.8209509181,24880.839952616116,24880.839952616116,0.0,528050.5965160364,528050.5965160364,0.0,5443350.992111832,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8090013.265646408,
43,682710.8209509181,22680.6291337993,22680.6291337993,0.0,535381.9043535449,535381.9043535449,0.0,4907969.087758288,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8176855.720686316,
44,682710.8209509181,20449.871198992867,20449.871198992867,0.0,542816.2940475998,542816.2940475998,0.0,4365152.793710686,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8258494.543966975,
45,700757.9740337981,18188.13664046119,18188.13664046119,0.0,549373.6348998353,549373.6348998353,0.0,3815779.1588108502,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8353884.914036811,
46,696254.2545528471,15899.079828378543,15899.079828378543,0.0,556357.2039595055,556357.2039595055,0.0,3259421.954851344,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8440077.052378109,
47,695726.3874503803,13580.9248118806,13580.9248118806,0.0,563332.4535705623,563332.4535705623,0.0,2696089.501280781,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8521084.22902238,
48,690203.8915792764,11233.706255336587,11233.706255336587,0.0,570708.2958592373,570708.2958592373,0.0,2125381.2054215446,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8591540.286063414,
49,686250.7870303292,8855.755022589768,8855.755022589768,0.0,578246.8375779936,578246.8375779936,0.0,1547134.3678435497,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8652882.648069495,
50,687999.608550087,6446.393199348124,6446.393199348124,0.0,585890.9187700074,585890.9187700074,0.0,961243.4490735419,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8710739.112226559,
51,639671.0695992782,4005.1810378064247,4005.1810378064247,0.0,546762.6390152309,546762.6390152309,0.0,414480.8100583106,37805.83242366666,37805.83242366666,0.0,0,0,0,5670874.863549999,8761836.529349133,
52,634617.1233506444,1727.0033752429608,1727.0033752429608,0.0,414480.8100583106,414480.8100583106,0.0,0.0,37805.83242366666,37805.83242366666,0.0,537343.970996446,537343.970996446,0.0,5133530.892553553,8405096.03584611,
53,610098.5287657276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34223.539283690356,34223.539283690356,0.0,520314.674468842,520314.674468842,0.0,4613216.218084712,8460656.350859305,
54,587152.4494642298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30754.774787231414,30754.774787231414,0.0,500896.9420027525,500896.9420027525,0.0,4112319.276081959,8516157.08353355,
55,558440.759208307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27415.461840546395,27415.461840546395,0.0,474797.32683586556,474797.32683586556,0.0,3637521.9492460927,8572385.054065445,
56,505057.29904604773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24250.146328307284,24250.146328307284,0.0,451650.122554029,451650.122554029,0.0,3185871.826692064,8601542.084229156,
57,475846.6590567247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21239.145511280425,21239.145511280425,0.0,428238.7774455897,428238.7774455897,0.0,2757633.049246474,8627910.82032901,
58,436281.54428797687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18384.220328309828,18384.220328309828,0.0,390663.81476948166,390663.81476948166,0.0,2366969.2344769924,8655144.329519195,
59,389923.8179046879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15779.794896513284,15779.794896513284,0.0,354113.54817301506,354113.54817301506,0.0,2012855.6863039774,8675174.804354355,
60,366143.94520776445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13419.037908693184,13419.037908693184,0.0,321711.408229928,321711.408229928,0.0,1691144.2780740494,8706188.303423498,
61,322145.38673869765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11274.29518716033,11274.29518716033,0.0,277719.9772663651,277719.9772663651,0.0,1413424.3008076847,8739339.417708669,
62,278151.5979971613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9422.828672051231,9422.828672051231,0.0,233985.30723629752,233985.30723629752,0.0,1179438.9935713867,8774082.879797481,
63,251158.3346551549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7862.926623809245,7862.926623809245,0.0,199003.06772943796,199003.06772943796,0.0,980435.925841949,8818375.220099388,
64,197420.3908913727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6536.2395056129935,6536.2395056129935,0.0,175982.23824093136,175982.23824093136,0.0,804453.6876010178,8833277.133244216,
65,169363.05624431444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5363.0245840067855,5363.0245840067855,0.0,140740.22623344112,140740.22623344112,0.0,663713.4613675764,8856536.938671082,
66,148038.93697868046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4424.756409117176,4424.756409117176,0.0,120354.20532569489,120354.20532569489,0.0,543359.2560418816,8879796.91391495,
67,128728.46754374944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3622.395040279211,3622.395040279211,0.0,98757.0385613897,98757.0385613897,0.0,444602.21748049185,8906145.947857032,
68,97527.20076325431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2964.014783203279,2964.014783203279,0.0,80697.26046322098,80697.26046322098,0.0,363904.95701727085,8920011.87337386,
69,95189.10512979812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2426.0330467818058,2426.0330467818058,0.0,58806.61719944099,58806.61719944099,0.0,305098.33981782943,8953968.328257436,
70,77771.12592716115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2033.988932118863,2033.988932118863,0.0,49812.20554563869,49812.20554563869,0.0,255286.13427219074,8979893.25970684,
71,49088.15655212668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1701.907561814605,1701.907561814605,0.0,33061.539253930845,33061.539253930845,0.0,222224.59501826018,8994217.96944322,
72,30102.672163499024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1481.4973001217347,1481.4973001217347,0.0,0.0,0.0,0.0,222224.59501826018,9022839.144306598,
