Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,22683499.454199996,0,0,0,0,0,0,5670874.863549999,0,
1,727155.3582914859,9451.458105916665,9451.458105916665,0.0,309344.05400143913,309344.05400143913,0.0,22374155.400198556,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,404579.2629417635,
2,701449.441626334,9322.564750082733,9322.564750082733,0.0,313603.54752666043,313603.54752666043,0.0,22060551.852671895,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,779322.0090489876,
3,706261.7639066387,9191.896605279957,9191.896605279957,0.0,317824.44508021604,317824.44508021604,0.0,21742727.407591682,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,1154786.8480277637,
4,708436.4894981252,9059.469753163201,9059.469753163201,0.0,322033.14699735626,322033.14699735626,0.0,21420694.260594323,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,1528350.1375330028,
5,700860.5137413725,8925.289275247635,8925.289275247635,0.0,326469.6245157228,326469.6245157228,0.0,21094224.6360786,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,1890035.1542410383,
6,700860.5137413725,8789.26026503275,8789.26026503275,0.0,330968.0174294951,330968.0174294951,0.0,20763256.618649106,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,2247357.807045516,
7,710615.7621133747,8651.356924437128,8651.356924437128,0.0,335308.22796628723,335308.22796628723,0.0,20427948.39068282,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,2610233.4010258,
8,700369.2212610113,8511.645162784509,8511.645162784509,0.0,339930.07615546806,339930.07615546806,0.0,20088018.31452735,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,2958380.3177261925,
9,700369.2212610113,8370.007631053064,8370.007631053064,0.0,344616.4612026733,344616.4612026733,0.0,19743401.853324678,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,3301982.486911111,
10,710342.2357848039,8226.417438885283,8226.417438885283,0.0,349132.9350080449,349132.9350080449,0.0,19394268.918316633,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,3651184.7870066185,
11,699898.4304182209,8080.94538263193,8080.94538263193,0.0,353947.79045900004,353947.79045900004,0.0,19040321.127857633,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,3985273.8983408404,
12,714154.5033666911,7933.467136607347,7933.467136607347,0.0,358462.3210065893,358462.3210065893,0.0,18681858.806851044,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,4329252.030321968,
13,707346.5422151192,7784.107836187935,7784.107836187935,0.0,363152.8214357612,363152.8214357612,0.0,18318705.985415284,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,4661881.060022771,
14,715626.6951878014,7632.794160589702,7632.794160589702,0.0,367558.08766772144,367558.08766772144,0.0,17951147.89774756,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,4998536.290139895,
15,706389.0163946551,7479.6449573948175,7479.6449573948175,0.0,372369.50461720064,372369.50461720064,0.0,17578778.393130362,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,5321295.573717588,
16,710040.5076399461,7324.490997137651,7324.490997137651,0.0,377083.207105975,377083.207105975,0.0,17201695.186024386,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,5643147.800012055,
17,704891.0088091238,7167.372994176828,7167.372994176828,0.0,382087.9176929065,382087.9176929065,0.0,16819607.26833148,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,5955002.934891729,
18,696098.3995026926,7008.169695138116,7008.169695138116,0.0,387363.87375068024,387363.87375068024,0.0,16432243.3945808,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,6252948.707706236,
19,704576.7255641469,6846.768081075334,6846.768081075334,0.0,392369.9331495211,392369.9331495211,0.0,16039873.46143128,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,6554528.14879742,
20,722816.9848842195,6683.2806089297,6683.2806089297,0.0,396978.1193945907,396978.1193945907,0.0,15642895.342036687,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,6869903.150435751,
21,694020.6162796755,6517.873059181953,6517.873059181953,0.0,402462.079948863,402462.079948863,0.0,15240433.262087826,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,7151163.230465015,
22,701074.5888470605,6350.180525869928,6350.180525869928,0.0,407790.4019535305,407790.4019535305,0.0,14832642.860134294,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,7434316.6535903085,
23,712204.3386074187,6180.267858389289,6180.267858389289,0.0,412913.5523397344,412913.5523397344,0.0,14419729.30779456,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,7723646.5887572365,
24,707475.3373304957,6008.2205449144,6008.2205449144,0.0,418184.49755878124,418184.49755878124,0.0,14001544.810235778,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,8003148.624741671,
25,710567.1314648931,5833.977004264908,5833.977004264908,0.0,423359.1099988974,423359.1099988974,0.0,13578185.700236881,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,8280742.085961035,
26,690756.3684123683,5657.577375098701,5657.577375098701,0.0,429211.7233048917,429211.7233048917,0.0,13148973.97693199,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,8532848.570451047,
27,703481.7150949441,5478.739157054996,5478.739157054996,0.0,434641.9421207784,434641.9421207784,0.0,12714332.03481121,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,8792429.021025792,
28,689928.6753823243,5297.638347838005,5297.638347838005,0.0,440651.5293153629,440651.5293153629,0.0,12273680.505495846,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,9032627.945502548,
29,702238.060747673,5114.033543956603,5114.033543956603,0.0,446141.4179144959,446141.4179144959,0.0,11827539.08758135,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,9279829.971549401,
30,709606.8548105588,4928.1412864922295,4928.1412864922295,0.0,451564.93410622596,451564.93410622596,0.0,11375974.153475124,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,9529163.167724876,
31,687984.0108192061,4739.989230614636,4739.989230614636,0.0,457812.6465616174,457812.6465616174,0.0,10918161.506913507,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,9750813.959509484,
32,711182.3462852832,4549.233961213961,4549.233961213961,0.0,463156.31244263786,463156.31244263786,0.0,10455005.19447087,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,9990510.17614855,
33,697659.0128106765,4356.2521643628625,4356.2521643628625,0.0,469051.69441029977,469051.69441029977,0.0,9985953.50006057,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,10210980.6591422,
34,692937.2071012225,4160.813958358571,4160.813958358571,0.0,475266.0446694705,475266.0446694705,0.0,9510687.4553911,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,10420710.424373228,
35,700257.7191677697,3962.7864397462918,3962.7864397462918,0.0,481264.0559603551,481264.0559603551,0.0,9029423.399430744,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,10631960.717898529,
36,693390.9438238188,3762.2597497628103,3762.2597497628103,0.0,487465.5953963369,487465.5953963369,0.0,8541957.804034408,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,10830343.223333882,
37,689881.363093093,3559.149085014337,3559.149085014337,0.0,493942.7481271817,493942.7481271817,0.0,8048015.055907227,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,11018942.105972413,
38,698243.7143322196,3353.3396066280116,3353.3396066280116,0.0,500089.1592778788,500089.1592778788,0.0,7547925.896629348,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,11209962.73817776,
39,692068.468645519,3144.969123595562,3144.969123595562,0.0,506632.9813063932,506632.9813063932,0.0,7041292.915322956,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,11388472.673150923,
40,698714.5259582716,2933.8720480512316,2933.8720480512316,0.0,512869.42098780966,512869.42098780966,0.0,6528423.494335147,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,11567603.322830968,
41,732520.4175907868,2720.176455972978,2720.176455972978,0.0,517631.24938417925,517631.24938417925,0.0,6010792.244950967,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,11775991.731339237,
42,690960.6484454497,2504.49676872957,2504.49676872957,0.0,524234.5110927156,524234.5110927156,0.0,5486557.73385825,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,11936432.788680876,
43,677513.2937609609,2286.065722440938,2286.065722440938,0.0,531503.8039000181,531503.8039000181,0.0,4955053.929958232,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,12076375.62957701,
44,696866.7755305815,2064.6058041492633,2064.6058041492633,0.0,537972.4117813524,537972.4117813524,0.0,4417081.51817688,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,12229424.804279726,
45,688461.5792613508,1840.4506325737,1840.4506325737,0.0,544864.5103514376,544864.5103514376,0.0,3872217.0078254417,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,12367400.8393147,
46,692424.5872626315,1613.4237532606007,1613.4237532606007,0.0,551727.6182074825,551727.6182074825,0.0,3320489.389617961,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,12502703.801374223,
47,692986.8270188263,1383.5372456741504,1383.5372456741504,0.0,558470.1547782562,558470.1547782562,0.0,2762019.234839704,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,12632056.353126753,
48,680243.3870442437,1150.8413478498767,1150.8413478498767,0.0,565779.0800439203,565779.0800439203,0.0,2196240.1547957845,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,12741589.235536862,
49,682075.3243622483,915.1000644982436,915.1000644982436,0.0,573090.7329285998,573090.7329285998,0.0,1623149.4218671843,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,12845878.143663647,
50,688045.9447985141,676.3122591113269,676.3122591113269,0.0,580227.9086862257,580227.9086862257,0.0,1042921.51318096,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,12949239.284274457,
51,633290.1359087956,434.55063049206666,434.55063049206666,0.0,542501.5902972312,542501.5902972312,0.0,500419.9228837304,3780.5832423666657,3780.5832423666657,0.0,0,0,0,5670874.863549999,13035812.696013164,
52,609248.0186614995,208.50830120155433,208.50830120155433,0.0,500419.9228837304,500419.9228837304,0.0,0.0,3780.5832423666657,3780.5832423666657,0.0,533440.0268078039,533440.0268078039,0.0,5137434.836742195,12607211.67343956,
53,616772.5428575461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3424.95655782813,3424.95655782813,0.0,516821.4517877829,516821.4517877829,0.0,4620613.3849544125,12703737.807951495,
54,560790.7049761154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3080.4089233029417,3080.4089233029417,0.0,499803.73047660163,499803.73047660163,0.0,4120809.6544778105,12761644.373527706,
55,534935.8456483008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2747.2064363185405,2747.2064363185405,0.0,473216.7602947812,473216.7602947812,0.0,3647592.8941830294,12820616.252444904,
56,506478.94056920725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2431.7285961220196,2431.7285961220196,0.0,448710.748169816,448710.748169816,0.0,3198882.1460132133,12875952.716248173,
57,465085.5915641758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2132.588097342142,2132.588097342142,0.0,423990.221358795,423990.221358795,0.0,2774891.924654418,12914915.498356214,
58,421980.67322645773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1849.927949769612,1849.927949769612,0.0,386791.06421569374,386791.06421569374,0.0,2388100.8604387245,12948255.179417208,
59,398534.2775032653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592.067240292483,1592.067240292483,0.0,352588.77801303,352588.77801303,0.0,2035512.0824256944,12992608.61166715,
60,369161.28086366336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357.008054950463,1357.008054950463,0.0,319639.93626267253,319639.93626267253,0.0,1715872.1461630221,13040772.94821319,
61,325980.87792699266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1143.9147641086813,1143.9147641086813,0.0,275379.64771208394,275379.64771208394,0.0,1440492.4984509386,13090230.26366399,
62,289906.6960163741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.3283323006257,960.3283323006257,0.0,232624.96665072872,232624.96665072872,0.0,1207867.5318002095,13146551.664697336,
63,213780.31777520978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.2450212001397,805.2450212001397,0.0,195823.22670418143,195823.22670418143,0.0,1012044.3050960284,13163703.510747164,
64,204582.09608810017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.6962033973522,674.6962033973522,0.0,170912.80072532047,170912.80072532047,0.0,841131.504370708,13196698.109906547,
65,174663.25004569202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.7543362471387,560.7543362471387,0.0,135530.31654527615,135530.31654527615,0.0,705601.187825432,13235270.289070716,
66,148086.91378225017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.40079188362137,470.40079188362137,0.0,116518.8695161958,116518.8695161958,0.0,589082.3183092363,13266367.932544887,
67,101443.12920462695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.7215455394909,392.7215455394909,0.0,97010.30998899153,97010.30998899153,0.0,492072.00832024496,13270408.030214982,
68,106019.87335081502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.04800554683,328.04800554683,0.0,79843.49230380646,79843.49230380646,0.0,412228.5160164386,13296256.363256443,
69,73383.05572253381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.8190106776257,274.8190106776257,0.0,58714.60899132106,58714.60899132106,0.0,353513.9070251174,13310649.99097698,
70,90307.6919354458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.67593801674494,235.67593801674494,0.0,48852.80169290095,48852.80169290095,0.0,304661.10533221625,13351869.205281507,
71,49691.45480914375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.10740355481082,203.10740355481082,0.0,32081.200834581847,32081.200834581847,0.0,272579.9044976346,13369276.351852516,
72,14477.49065730845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.7199363317564,181.7199363317564,0.0,0.0,0.0,0.0,272579.9044976346,13383572.122573493,
