Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,22683499.454199996,0,0,0,0,0,0,5670874.863549999,0,
1,133555.19835167367,133539.40047805407,133539.40047805407,0.0,0,0.0,0.0,22683499.454199996,32155.170387156835,15.797873619594611,32139.37251353724,0,0,0,5670874.863549999,0,
2,127552.72898824865,133539.40047805407,127552.72898824865,5986.67148980542,0,0.0,0.0,22683499.454199996,64294.542900694076,0.0,64294.542900694076,0,0,0,5670874.863549999,0,
3,134187.47034281626,139526.0719678595,134187.47034281626,5338.601625043229,0,0.0,0.0,22683499.454199996,96449.71328785091,0.0,96449.71328785091,0,0,0,5670874.863549999,0,
4,127552.72898824865,138878.0021030973,127552.72898824865,11325.27311484865,0,0.0,0.0,22683499.454199996,128604.88367500775,0.0,128604.88367500775,0,0,0,5670874.863549999,0,
5,150107.994279466,144864.67359290272,144864.67359290272,0.0,0,0.0,0.0,22683499.454199996,160760.0540621646,5243.320686563267,155516.73337560132,0,0,0,5670874.863549999,0,
6,145470.7885698902,133539.40047805407,133539.40047805407,0.0,0,0.0,0.0,22683499.454199996,187671.90376275816,11931.388091836125,175740.51567092203,0,0,0,5670874.863549999,0,
7,137128.5210910326,133539.40047805407,133539.40047805407,0.0,0,0.0,0.0,22683499.454199996,207895.68605807886,3589.120612978528,204306.56544510034,0,0,0,5670874.863549999,0,
8,127026.60483189503,133539.40047805407,127026.60483189503,6512.795646159037,0,0.0,0.0,22683499.454199996,236461.73583225717,0.0,236461.73583225717,0,0,0,5670874.863549999,0,
9,133195.28077949968,140052.1961242131,133195.28077949968,6856.91534471343,0,0.0,0.0,22683499.454199996,268616.906219414,0.0,268616.906219414,0,0,0,5670874.863549999,0,
10,126766.45978067085,140396.3158227675,126766.45978067085,13629.856042096653,0,0.0,0.0,22683499.454199996,300772.07660657086,0.0,300772.07660657086,0,0,0,5670874.863549999,0,
11,135238.24512101055,147169.25652015072,135238.24512101055,11931.011399140174,0,0.0,0.0,22683499.454199996,332927.2469937277,0.0,332927.2469937277,0,0,0,5670874.863549999,0,
12,136486.92779517738,145470.41187719424,136486.92779517738,8983.484082016861,0,0.0,0.0,22683499.454199996,365082.4173808845,0.0,365082.4173808845,0,0,0,5670874.863549999,0,
13,126766.45978067085,142522.88456007093,126766.45978067085,15756.424779400084,0,0.0,0.0,22683499.454199996,397237.58776804135,0.0,397237.58776804135,0,0,0,5670874.863549999,0,
14,133350.7805286516,149295.82525745415,133350.7805286516,15945.044728802546,0,0.0,0.0,22683499.454199996,429392.7581551982,0.0,429392.7581551982,0,0,0,5670874.863549999,0,
15,132694.31653281956,149484.44520685662,132694.31653281956,16790.128674037056,0,0.0,0.0,22683499.454199996,461547.928542355,0.0,461547.928542355,0,0,0,5670874.863549999,0,
16,150090.23906910856,150329.52915209113,150090.23906910856,239.29008298256667,0,0.0,0.0,22683499.454199996,493703.09892951185,0.0,493703.09892951185,0,0,0,5670874.863549999,0,
17,145832.70475257805,133778.69056103664,133778.69056103664,0.0,0,0.0,0.0,22683499.454199996,525858.2693166687,12054.014191541413,513804.2551251273,0,0,0,5670874.863549999,0,
18,134653.52264998772,133539.40047805407,133539.40047805407,0.0,0,0.0,0.0,22683499.454199996,545959.4255122842,1114.1221719336463,544845.3033403505,0,0,0,5670874.863549999,0,
19,134595.72706317742,133539.40047805407,133539.40047805407,0.0,0,0.0,0.0,22683499.454199996,577000.4737275074,1056.3265851233446,575944.1471423841,0,0,0,5670874.863549999,0,
20,136483.64586496868,133539.40047805407,133539.40047805407,0.0,0,0.0,0.0,22683499.454199996,608099.317529541,2944.245386914612,605155.0721426264,0,0,0,5670874.863549999,0,
21,126766.45978067085,133539.40047805407,126766.45978067085,6772.940697383223,0,0.0,0.0,22683499.454199996,637310.2425297833,0.0,637310.2425297833,0,0,0,5670874.863549999,0,
22,143848.1887265449,140312.3411754373,140312.3411754373,0.0,0,0.0,0.0,22683499.454199996,669465.4129169402,3535.8475511076103,665929.5653658325,0,0,0,5670874.863549999,0,
23,131778.88539306645,133539.40047805407,131778.88539306645,1760.5150849876227,0,0.0,0.0,22683499.454199996,698084.7357529894,0.0,698084.7357529894,0,0,0,5670874.863549999,0,
24,133389.8215338046,135299.9155630417,133389.8215338046,1910.0940292370797,0,0.0,0.0,22683499.454199996,730239.9061401463,0.0,730239.9061401463,0,0,0,5670874.863549999,0,
25,136441.92566509062,135449.49450729115,135449.49450729115,0.0,0,0.0,0.0,22683499.454199996,762395.0765273032,992.4311577994667,761402.6453695038,0,0,0,5670874.863549999,0,
26,140898.74299750407,133539.40047805407,133539.40047805407,0.0,0,0.0,0.0,22683499.454199996,793557.8157566607,7359.342519450001,786198.4732372107,0,0,0,5670874.863549999,0,
27,126211.54898573607,133539.40047805407,126211.54898573607,7327.851492318005,0,0.0,0.0,22683499.454199996,818353.6436243675,0.0,818353.6436243675,0,0,0,5670874.863549999,0,
28,126211.54898573607,140867.25197037208,126211.54898573607,14655.70298463601,0,0.0,0.0,22683499.454199996,850508.8140115244,0.0,850508.8140115244,0,0,0,5670874.863549999,0,
29,134450.98732532037,148195.10346269008,134450.98732532037,13744.11613736971,0,0.0,0.0,22683499.454199996,882663.9843986813,0.0,882663.9843986813,0,0,0,5670874.863549999,0,
30,133756.45749682566,147283.51661542378,133756.45749682566,13527.059118598117,0,0.0,0.0,22683499.454199996,914819.1547858382,0.0,914819.1547858382,0,0,0,5670874.863549999,0,
31,126211.54898573607,147066.4595966522,126211.54898573607,20854.910610916122,0,0.0,0.0,22683499.454199996,946974.3251729951,0.0,946974.3251729951,0,0,0,5670874.863549999,0,
32,146226.42842474513,154394.3110889702,146226.42842474513,8167.882664225064,0,0.0,0.0,22683499.454199996,979129.495560152,0.0,979129.495560152,0,0,0,5670874.863549999,0,
33,132927.70294701707,141707.28314227914,132927.70294701707,8779.580195262068,0,0.0,0.0,22683499.454199996,1011284.6659473089,0.0,1011284.6659473089,0,0,0,5670874.863549999,0,
34,137357.55930877908,142318.98067331614,137357.55930877908,4961.421364537062,0,0.0,0.0,22683499.454199996,1043439.8363344658,0.0,1043439.8363344658,0,0,0,5670874.863549999,0,
35,133746.82368058007,138500.82184259113,133746.82368058007,4753.998162011063,0,0.0,0.0,22683499.454199996,1075595.0067216225,0.0,1075595.0067216225,0,0,0,5670874.863549999,0,
36,162326.82473690563,138293.39864006513,138293.39864006513,0.0,0,0.0,0.0,22683499.454199996,1107750.1771087793,24033.4260968405,1083716.7510119388,0,0,0,5670874.863549999,0,
37,144051.16582597262,133539.40047805407,133539.40047805407,0.0,0,0.0,0.0,22683499.454199996,1115871.9213990956,10511.765347918554,1105360.156051177,0,0,0,5670874.863549999,0,
38,131865.41740694025,133539.40047805407,131865.41740694025,1673.9830711138202,0,0.0,0.0,22683499.454199996,1137515.3264383338,0.0,1137515.3264383338,0,0,0,5670874.863549999,0,
39,147039.77091090672,135213.3835491679,135213.3835491679,0.0,0,0.0,0.0,22683499.454199996,1169670.4968254906,11826.38736173883,1157844.1094637518,0,0,0,5670874.863549999,0,
40,146203.61169515623,133539.40047805407,133539.40047805407,0.0,0,0.0,0.0,22683499.454199996,1189999.2798509086,12664.211217102158,1177335.0686338064,0,0,0,5670874.863549999,0,
41,130399.310233575,133539.40047805407,130399.310233575,3140.09024447907,0,0.0,0.0,22683499.454199996,1209490.2390209632,0.0,1209490.2390209632,0,0,0,5670874.863549999,0,
42,147625.76943049632,136679.49072253314,136679.49072253314,0.0,0,0.0,0.0,22683499.454199996,1241645.40940812,10946.278707963182,1230699.1307001568,0,0,0,5670874.863549999,0,
43,122078.2551428369,133539.40047805407,122078.2551428369,11461.145335217167,0,0.0,0.0,22683499.454199996,1262854.3010873136,0.0,1262854.3010873136,0,0,0,5670874.863549999,0,
44,122078.2551428369,145000.54581327125,122078.2551428369,22922.290670434348,0,0.0,0.0,22683499.454199996,1295009.4714744703,0.0,1295009.4714744703,0,0,0,5670874.863549999,0,
45,139076.87960581738,156461.69114848843,139076.87960581738,17384.811542671057,0,0.0,0.0,22683499.454199996,1327164.641861627,0.0,1327164.641861627,0,0,0,5670874.863549999,0,
46,122078.2551428369,150924.21202072513,122078.2551428369,28845.956877888224,0,0.0,0.0,22683499.454199996,1359319.812248784,0.0,1359319.812248784,0,0,0,5670874.863549999,0,
47,139396.39398510676,162385.3573559423,139396.39398510676,22988.963370835554,0,0.0,0.0,22683499.454199996,1391474.9826359407,0.0,1391474.9826359407,0,0,0,5670874.863549999,0,
48,121643.9689007505,156528.36384888962,121643.9689007505,34884.39494813913,0,0.0,0.0,22683499.454199996,1423630.1530230974,0.0,1423630.1530230974,0,0,0,5670874.863549999,0,
49,136381.07727829786,168423.79542619322,136381.07727829786,32042.718147895357,0,0.0,0.0,22683499.454199996,1455785.3234102542,0.0,1455785.3234102542,0,0,0,5670874.863549999,0,
50,121643.9689007505,165582.11862594943,121643.9689007505,43938.149725198935,0,0.0,0.0,22683499.454199996,1487940.493797411,0.0,1487940.493797411,0,0,0,5670874.863549999,0,
51,119346.95699784548,177477.550203253,119346.95699784548,58130.59320540751,0,0.0,0.0,22683499.454199996,1520095.6641845678,0.0,1520095.6641845678,0,0,0,5670874.863549999,0,
52,109818.07602939446,191669.99368346157,109818.07602939446,81851.9176540671,0,0.0,0.0,22683499.454199996,1552250.8345717245,0.0,1552250.8345717245,0,0,0,5670874.863549999,0,
53,107994.21743897468,215391.31813212117,107994.21743897468,107397.1006931465,0,0.0,0.0,22683499.454199996,1584406.0049588813,0.0,1584406.0049588813,0,0,0,5670874.863549999,0,
