Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,22683499.454199996,0,0,0,0,0,0,5670874.863549999,0,
1,605470.1315084248,132743.82774143224,132743.82774143224,0.0,262544.8054045706,262544.8054045706,0.0,22420954.648795426,32602.058852945436,32602.058852945436,0.0,0,0,0,5670874.863549999,177579.43950947648,
2,606008.2351255628,131207.4156682687,131207.4156682687,0.0,265933.34782281535,265933.34782281535,0.0,22155021.30097261,32602.058852945436,32602.058852945436,0.0,0,0,0,5670874.863549999,353844.8522910097,
3,606515.9123170916,129651.1738465264,129651.1738465264,0.0,269328.13221107126,269328.13221107126,0.0,21885693.16876154,32602.058852945436,32602.058852945436,0.0,0,0,0,5670874.863549999,528779.399697558,
4,595047.8055683334,128075.06574819997,128075.06574819997,0.0,273041.6913156707,273041.6913156707,0.0,21612651.477445867,32602.058852945436,32602.058852945436,0.0,0,0,0,5670874.863549999,690108.3893490753,
5,595047.8055683334,126477.22590380478,126477.22590380478,0.0,276807.1068095203,276807.1068095203,0.0,21335844.370636348,32602.058852945436,32602.058852945436,0.0,0,0,0,5670874.863549999,849269.8033511381,
6,603513.0818541459,124857.35084977631,124857.35084977631,0.0,280391.0292772451,280391.0292772451,0.0,21055453.3413591,32602.058852945436,32602.058852945436,0.0,0,0,0,5670874.863549999,1014932.4462253172,
7,594593.0939469894,123216.50268321486,123216.50268321486,0.0,284259.2995642865,284259.2995642865,0.0,20771194.041794814,32602.058852945436,32602.058852945436,0.0,0,0,0,5670874.863549999,1169447.67907186,
8,601096.5809018718,121553.0174008205,121553.0174008205,0.0,288033.8736401624,288033.8736401624,0.0,20483160.168154653,32602.058852945436,32602.058852945436,0.0,0,0,0,5670874.863549999,1328355.3100798035,
9,604114.9388612941,119867.44331277531,119867.44331277531,0.0,291818.1755999362,291818.1755999362,0.0,20191341.992554717,32602.058852945436,32602.058852945436,0.0,0,0,0,5670874.863549999,1488182.5711754404,
