Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,22683499.454199996,0,0,0,0,0,0,5670874.863549999,0,
1,702654.904424761,124740.94264502182,124740.94264502182,0.0,309835.79726602824,309835.79726602824,0.0,22373663.656933967,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,235644.34088403895,
2,702654.904424761,123037.09578073298,123037.09578073298,0.0,314102.56482803746,314102.56482803746,0.0,22059561.09210593,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,468725.76107035746,
3,728024.1089948232,121309.78513790296,121309.78513790296,0.0,317283.65122597193,317283.65122597193,0.0,21742277.44087996,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,725722.6100716337,
4,701509.6992811315,119564.98108684842,119564.98108684842,0.0,321670.3075785972,321670.3075785972,0.0,21420607.133301362,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,953563.1970576479,
5,722607.2440757605,117796.05396564804,117796.05396564804,0.0,324963.9675338763,324963.9675338763,0.0,21095643.165767483,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,1200976.5960042123,
6,700355.4852209821,116009.01437249845,116009.01437249845,0.0,329473.92425787624,329473.92425787624,0.0,20766169.24150961,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,1423415.3189651477,
7,716923.2661346357,114197.17365665724,114197.17365665724,0.0,333204.53786731197,333204.53786731197,0.0,20432964.703642298,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,1660503.049946142,
8,699513.1819817111,112364.81757636683,112364.81757636683,0.0,337841.3048061389,337841.3048061389,0.0,20095123.39883616,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,1877376.285915675,
9,719506.7943149235,110506.96301953217,110506.96301953217,0.0,341596.6037483907,341596.6037483907,0.0,19753526.795087766,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,2112345.689833003,
10,708839.1120955712,108628.45734883758,108628.45734883758,0.0,345852.9667931779,345852.9667931779,0.0,19407673.82829459,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,2334269.5541568864,
11,709823.2577744379,106726.54511605066,106726.54511605066,0.0,350028.2899075685,350028.2899075685,0.0,19057645.53838702,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,2554904.153278033,
12,697397.67400191,104801.67197539375,104801.67197539375,0.0,354929.61425609665,354929.61425609665,0.0,18702715.924130924,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,2760136.7174187806,
13,708158.5917269103,102849.84550592271,102849.84550592271,0.0,359334.79553795076,359334.79553795076,0.0,18343381.128592975,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,2973676.844472145,
14,712551.707062574,100873.79409414373,100873.79409414373,0.0,363468.1190212618,363468.1190212618,0.0,17979913.009571712,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,3189452.8147896416,
15,714759.472039235,98875.01273857425,98875.01273857425,0.0,367605.8366095119,367605.8366095119,0.0,17612307.1729622,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,3405297.613851118,
16,703272.2109790435,96853.47727518296,96853.47727518296,0.0,372316.62058812357,372316.62058812357,0.0,17239990.552374076,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,3606965.9033371825,
17,720534.377537091,94806.03630125632,94806.03630125632,0.0,376289.95790362393,376289.95790362393,0.0,16863700.594470453,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,3823970.463039722,
18,716837.4142135695,92736.74517836202,92736.74517836202,0.0,380314.0029351714,380314.0029351714,0.0,16483386.591535281,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,4035323.3055100855,
19,704748.801374438,90645.32505498019,90645.32505498019,0.0,385106.1110521479,385106.1110521479,0.0,16098280.480483133,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,4231886.847147724,
20,712915.0897876133,88527.55220392617,88527.55220392617,0.0,389337.7173636154,389337.7173636154,0.0,15708942.763119519,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,4434502.843738124,
21,707411.8272126042,86386.50893283574,86386.50893283574,0.0,393913.79711474176,393913.79711474176,0.0,15315028.966004776,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,4629180.541273478,
22,700264.2500785555,84220.30091576213,84220.30091576213,0.0,398975.7665544866,398975.7665544866,0.0,14916053.199450288,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,4813814.900252113,
23,711230.9465943293,82026.25615150455,82026.25615150455,0.0,403460.4195824279,403460.4195824279,0.0,14512592.779867861,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,5007125.347482839,
24,687273.0197418501,79807.54941446494,79807.54941446494,0.0,409250.7990308723,409250.7990308723,0.0,14103341.98083699,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,5172906.19514968,
25,710101.682198423,77557.00026298086,77557.00026298086,0.0,413767.888001976,413767.888001976,0.0,13689574.092835013,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,5359249.165453474,
26,718313.2455808672,75281.61076720137,75281.61076720137,0.0,417919.8517874885,417919.8517874885,0.0,13271654.241047524,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,5551927.124849979,
27,699034.9877927111,72983.38882101103,72983.38882101103,0.0,423117.13969949156,423117.13969949156,0.0,12848537.101348033,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,5722427.760492515,
28,691423.2042183536,70656.58598523398,70656.58598523398,0.0,428761.08737648005,428761.08737648005,0.0,12419776.013971552,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,5881999.467719483,
29,699722.1094860444,68298.74599159296,68298.74599159296,0.0,434037.89332557144,434037.89332557144,0.0,11985738.120645981,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,6046951.114258692,
30,681868.6824432167,65911.887823328,65911.887823328,0.0,440332.36781584856,440332.36781584856,0.0,11545405.752830133,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,6190141.71743306,
31,704218.1646292605,63490.41512466583,63490.41512466583,0.0,445456.7982402876,445456.7982402876,0.0,11099948.954589846,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,6352978.845067695,
32,712855.7576449766,61040.76219380651,61040.76219380651,0.0,449997.4949570097,449997.4949570097,0.0,10649951.459632836,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,6522362.521932184,
33,697057.9208557158,58566.13909510107,58566.13909510107,0.0,455488.15947535745,455488.15947535745,0.0,10194463.300157478,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,6672932.320587769,
34,677606.6066404914,56061.321772213,56061.321772213,0.0,462143.1642915794,462143.1642915794,0.0,9732320.135865899,32433.82362967199,32433.82362967199,0.0,0,0,0,5670874.863549999,6799900.617534797,
