2020-10-13 13:13:31 INFO MainProcess  Successfully imported 1500 lines from Loans.csv. (import_export.py:294)
2020-10-13 13:13:31 DEBUG Process-1    Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:31 DEBUG Process-2    Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:31 DEBUG Process-3    Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:31 DEBUG Process-5    Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:31 DEBUG Process-6    Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:31 DEBUG Process-4    Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:32 DEBUG Process-7    Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:32 DEBUG Process-11   Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:32 DEBUG Process-20   Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:32 DEBUG Process-19   Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:32 DEBUG Process-10   Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:32 DEBUG Process-12   Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:32 DEBUG Process-13   Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:32 DEBUG Process-16   Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:32 DEBUG Process-15   Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:32 DEBUG Process-17   Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:32 DEBUG Process-14   Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:32 DEBUG Process-18   Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:32 DEBUG Process-9    Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
2020-10-13 13:13:32 DEBUG Process-8    Doing work on ['StandardTranche(22683499.454199996, 0.05, 1)', 'StandardTranche(5670874.863549999, 0.08, 2)'] (waterfall.py:177)
